en	meaning_en	meaning_ja	meaning_zh	meaning_fr	meaning_de	meaning_es	meaning_it	meaning_pt	meaning_ru	meaning_ar	meaning_hi
accent	Pronunciation; emphasis; stress; dialect.	アクセント; 発音; 強調; ストレス; 方言。	口音; 发音; 强调; 重音; 方言。	Accent; prononciation; emphase; stress; dialecte.	Akzent; Aussprache; Betonung; Stress; Dialekt.	Acento; pronunciación; énfasis; estrés; dialecto.	Accento; pronuncia; enfasi; stress; dialetto.	Sotaque; pronúncia; ênfase; estresse; dialeto.	Акцент; произношение; ударение; стресс; диалект.	لهجة; نطق; تأكيد; إجهاد; لهجة محلية.	उच्चारण; बोली; जोर; तनाव; बोली।
access	Entry; approach; availability; admission.	アクセス; 入場; アプローチ; 利用可能性; 入場許可。	访问; 进入; 接近; 可用性; 准入。	Accès; entrée; approche; disponibilité; admission.	Zugang; Eingang; Annäherung; Verfügbarkeit; Zulassung.	Acceso; entrada; aproximación; disponibilidad; admisión.	Accesso; entrata; approccio; disponibilità; ammissione.	Acesso; entrada; abordagem; disponibilidade; admissão.	Доступ; вход; подход; доступность; допуск.	وصول; دخول; نهج; توفر; قبول.	पहुंच; प्रवेश; दृष्टिकोण; उपलब्धता; प्रवेश।
accessory	An additional item that complements something.	アクセサリー; 何かを補完する追加アイテム。	配件; 补充某物的附加物品。	Accessoire; article supplémentaire qui complète quelque chose.	Zubehör; zusätzlicher Gegenstand, der etwas ergänzt.	Accesorio; artículo adicional que complementa algo.	Accessorio; articolo aggiuntivo che completa qualcosa.	Acessório; item adicional que complementa algo.	Аксессуар; дополнительный предмет, который дополняет что-либо.	إكسسوار; عنصر إضافي يكمل شيئاً ما.	सहायक उपकरण; कोई अतिरिक्त वस्तु जो किसी चीज़ को पूरा करती है।
accident	Mishap; crash; unplanned event; injury.	事故; 災難; クラッシュ; 計画外の出来事; 負傷。	事故; 灾难; 撞车; 意外事件; 受伤。	Accident; mésaventure; crash; événement imprévu; blessure.	Unfall; Missgeschick; Crash; ungeplantes Ereignis; Verletzung.	Accidente; percance; choque; evento no planificado; lesión.	Incidente; disgrazia; schianto; evento non pianificato; infortunio.	Acidente; contratempo; colisão; evento não planejado; lesão.	Несчастный случай; авария; крушение; незапланированное событие; травма.	حادث; مصيبة; تصادم; حدث غير مخطط; إصابة.	दुर्घटना; आपदा; टक्कर; अनियोजित घटना; चोट।
accommodation	Lodging; adjustment; compromise; housing.	宿泊施設; 宿泊; 調整; 妥協; 住居。	住宿; 宿舍; 调整; 妥协; 住房。	Hébergement; logement; ajustement; compromis; logement.	Unterkunft; Beherbergung; Anpassung; Kompromiss; Wohnung.	Alojamiento; hospedaje; ajuste; compromiso; vivienda.	Alloggio; sistemazione; aggiustamento; compromesso; abitazione.	Acomodação; hospedagem; ajuste; compromisso; habitação.	Размещение; жильё; приспособление; компромисс; жилище.	إقامة; سكن; تعديل; تسوية; مسكن.	आवास; निवास; समायोजन; समझौता; आवास।
accomplishment	Something that has been achieved successfully.	成果; 成功裏に達成された何か。	成就; 成功完成的事情。	Accomplissement; quelque chose qui a été réalisé avec succès.	Leistung; etwas, das erfolgreich erreicht wurde.	Logro; algo que ha sido alcanzado exitosamente.	Realizzazione; qualcosa che è stato raggiunto con successo.	Conquista; algo que foi alcançado com sucesso.	Достижение; то, что было успешно выполнено.	إنجاز; شيء تم تحقيقه بنجاح.	उपलब्धि; कुछ जो सफलतापूर्वक हासिल किया गया है।
accord	An official agreement or treaty.	合意; 公式な協定または条約。	协议; 正式的协定或条约。	Accord; accord officiel ou traité.	Abkommen; offizielle Vereinbarung oder Vertrag.	Acuerdo; acuerdo oficial o tratado.	Accordo; accordo ufficiale o trattato.	Acordo; acordo oficial ou tratado.	Соглашение; официальное соглашение или договор.	اتفاق; اتفاقية رسمية أو معاهدة.	समझौता; आधिकारिक समझौता या संधि।
account	Report; record; bill; explanation.	アカウント; 報告; 記録; 請求書; 説明。	账户; 报告; 记录; 账单; 解释。	Compte; rapport; enregistrement; facture; explication.	Konto; Bericht; Aufzeichnung; Rechnung; Erklärung.	Cuenta; informe; registro; factura; explicación.	Conto; rapporto; registrazione; fattura; spiegazione.	Conta; relatório; registro; conta; explicação.	Счёт; отчёт; запись; счёт; объяснение.	حساب; تقرير; سجل; فاتورة; شرح.	खाता; रिपोर्ट; रिकॉर्ड; बिल; स्पष्टीकरण।
accounting	The action or process of keeping financial accounts.	会計; 財務記録を保持する行動またはプロセス。	会计; 保持财务记录的行动或过程。	Comptabilité; action ou processus de tenir des comptes financiers.	Buchhaltung; Handlung oder Prozess der Führung von Finanzkonten.	Contabilidad; acción o proceso de llevar cuentas financieras.	Contabilità; azione o processo di tenere conti finanziari.	Contabilidade; ação ou processo de manter contas financeiras.	Бухгалтерский учёт; действие или процесс ведения финансовых счетов.	محاسبة; عمل أو عملية الاحتفاظ بالحسابات المالية.	लेखांकन; वित्तीय खातों को रखने की क्रिया या प्रक्रिया।
accumulation	The acquisition or gradual gathering of something.	蓄積; 何かの獲得または段階的な収集。	积累; 某物的获得或逐渐收集。	Accumulation; acquisition ou collecte progressive de quelque chose.	Ansammlung; Erwerb oder allmähliche Sammlung von etwas.	Acumulación; adquisición o recolección gradual de algo.	Accumulo; acquisizione o raccolta graduale di qualcosa.	Acumulação; aquisição ou coleta gradual de algo.	Накопление; приобретение или постепенное собирание чего-либо.	تراكم; اكتساب أو جمع تدريجي لشيء ما.	संचय; किसी चीज़ का अधिग्रहण या क्रमिक एकत्रीकरण।
achievement	Accomplishment; success; attainment; feat.	達成; 成果; 成功; 到達; 偉業。	成就; 成果; 成功; 达成; 功绩。	Réalisation; accomplissement; succès; atteinte; exploit.	Errungenschaft; Leistung; Erfolg; Erreichung; Heldentat.	Logro; cumplimiento; éxito; consecución; hazaña.	Risultato; realizzazione; successo; raggiungimento; impresa.	Conquista; realização; sucesso; alcance; façanha.	Достижение; свершение; успех; достижение; подвиг.	إنجاز; تحقيق; نجاح; وصول; بطولة.	उपलब्धि; सिद्धि; सफलता; प्राप्ति; कारनामा।
acid	Chemical; sour substance; corrosive; bitter.	酸; 化学物質; 酸性物質; 腐食性; 苦味。	酸; 化学物质; 酸性物质; 腐蚀性; 苦味。	Acide; produit chimique; substance acide; corrosif; amer.	Säure; Chemikalie; saure Substanz; ätzend; bitter.	Ácido; químico; sustancia ácida; corrosivo; amargo.	Acido; sostanza chimica; sostanza acida; corrosivo; amaro.	Ácido; químico; substância ácida; corrosivo; amargo.	Кислота; химическое вещество; кислое вещество; едкий; горький.	حمض; مادة كيميائية; مادة حمضية; أكال; مر.	अम्ल; रसायन; खट्टा पदार्थ; संक्षारक; कड़वा।
acquaintance	A person one knows slightly.	知人; わずかに知っている人。	熟人; 稍微认识的人。	Connaissance; personne que l'on connaît légèrement.	Bekannte; Person, die man oberflächlich kennt.	Conocido; persona que uno conoce ligeramente.	Conoscente; persona che si conosce leggermente.	Conhecido; pessoa que se conhece ligeiramente.	Знакомый; человек, которого немного знают.	معارف; شخص يعرفه المرء بشكل طفيف.	परिचित; एक व्यक्ति जिसे हम थोड़ा जानते हैं।
acquisition	Obtaining; purchase; gaining; learning.	取得; 獲得; 購入; 獲得; 学習。	获得; 获取; 购买; 获得; 学习。	Acquisition; obtention; achat; gain; apprentissage.	Erwerb; Beschaffung; Kauf; Gewinnung; Lernen.	Adquisición; obtención; compra; ganancia; aprendizaje.	Acquisizione; ottenimento; acquisto; guadagno; apprendimento.	Aquisição; obtenção; compra; ganho; aprendizagem.	Приобретение; получение; покупка; получение; изучение.	اكتساب; حصول; شراء; كسب; تعلم.	अधिग्रहण; प्राप्ति; खरीद; लाभ; सीखना।
acquittal	Legal judgment of not guilty.	無罪判決; 無罪の法的判断。	无罪释放; 无罪的法律判决。	Acquittement; jugement légal de non-culpabilité.	Freispruch; rechtliches Urteil der Unschuld.	Absolución; juicio legal de no culpabilidad.	Assoluzione; giudizio legale di non colpevolezza.	Absolvição; julgamento legal de inocência.	Оправдание; правовое решение о невиновности.	براءة; حكم قانوني بعدم الذنب.	निर्दोष ठहराना; निर्दोष होने का कानूनी फैसला।
acre	A unit of land area equal to 4,840 square yards.	エーカー; 4,840平方ヤードに等しい土地面積の単位。	英亩; 等于4,840平方码的土地面积单位。	Acre; unité de superficie terrestre égale à 4,840 yards carrés.	Acre; Landflächeneinheit gleich 4,840 Quadratyard.	Acre; unidad de área de tierra igual a 4,840 yardas cuadradas.	Acro; unità di superficie terrestre pari a 4,840 yard quadrati.	Acre; unidade de área de terra igual a 4,840 jardas quadradas.	Акр; единица площади земли, равная 4,840 квадратным ярдам.	فدان; وحدة مساحة أرض تساوي 4,840 ياردة مربعة.	एकड़; भूमि क्षेत्र की एक इकाई जो 4,840 वर्ग गज के बराबर है।
act	A thing done; a deed or action.	行為; 行われた事; 行動または行為。	行为; 所做的事; 行动或行为。	Acte; chose faite; action ou acte.	Akt; getane Sache; Tat oder Handlung.	Acto; cosa hecha; hecho o acción.	Atto; cosa fatta; azione o atto.	Ato; coisa feita; ação ou ato.	Акт; сделанное дело; поступок или действие.	عمل; شيء مفعول; فعل أو عمل.	कृत्य; किया गया काम; कर्म या क्रिया।
acting	Performing as actor; temporary duty; theatrical performance; pretending.	演技; 俳優として演じること; 一時的な任務; 劇場公演; ふりをすること。	表演; 作为演员表演; 临时职责; 戏剧表演; 假装。	Jeu d'acteur; jouer en tant qu'acteur; devoir temporaire; représentation théâtrale; faire semblant.	Schauspiel; als Schauspieler auftreten; vorübergehende Pflicht; Theateraufführung; vortäuschen.	Actuación; actuar como actor; deber temporal; representación teatral; fingir.	Recitazione; esibirsi come attore; dovere temporaneo; rappresentazione teatrale; fingere.	Atuação; atuar como ator; dever temporário; representação teatral; fingir.	Актёрская игра; выступать как актёр; временная обязанность; театральное представление; притворство.	تمثيل; الأداء كممثل; واجب مؤقت; عرض مسرحي; التظاهر.	अभिनय; अभिनेता के रूप में प्रदर्शन; अस्थायी कर्तव्य; नाट्य प्रदर्शन; ढोंग करना।
action	Activity; deed; behavior; movement.	行動; 活動; 行為; 振る舞い; 動き。	行动; 活动; 行为; 举止; 运动。	Action; activité; acte; comportement; mouvement.	Aktion; Aktivität; Tat; Verhalten; Bewegung.	Acción; actividad; hecho; comportamiento; movimiento.	Azione; attività; atto; comportamento; movimento.	Ação; atividade; ato; comportamento; movimento.	Действие; деятельность; поступок; поведение; движение.	عمل; نشاط; فعل; سلوك; حركة.	क्रिया; गतिविधि; कर्म; व्यवहार; गतिविधि।
active	Participant; person engaged in activity; energetic; busy.	参加者; 活動に従事する人; エネルギッシュ; 忙しい。	参与者; 从事活动的人; 精力充沛; 忙碌。	Participant; personne engagée dans l'activité; énergique; occupé.	Teilnehmer; Person, die an Aktivitäten beteiligt ist; energisch; beschäftigt.	Participante; persona comprometida en actividad; enérgico; ocupado.	Partecipante; persona impegnata in attività; energico; impegnato.	Participante; pessoa engajada em atividade; energético; ocupado.	Участник; человек, занятый деятельностью; энергичный; занятый.	مشارك; شخص منخرط في النشاط; نشيط; مشغول.	भागीदार; गतिविधि में लगा व्यक्ति; ऊर्जावान; व्यस्त।
activity	Action; pursuit; task; movement.	活動; 行動; 追求; 課題; 動き。	活动; 行动; 追求; 任务; 运动。	Activité; action; poursuite; tâche; mouvement.	Aktivität; Handlung; Verfolgung; Aufgabe; Bewegung.	Actividad; acción; búsqueda; tarea; movimiento.	Attività; azione; ricerca; compito; movimento.	Atividade; ação; busca; tarefa; movimento.	Деятельность; действие; преследование; задача; движение.	نشاط; عمل; سعي; مهمة; حركة.	गतिविधि; क्रिया; खोज; कार्य; आंदोलन।
actor	Performer; player; participant; agent.	俳優; パフォーマー; プレイヤー; 参加者; エージェント。	演员; 表演者; 演奏者; 参与者; 代理人。	Acteur; interprète; joueur; participant; agent.	Schauspieler; Darsteller; Spieler; Teilnehmer; Agent.	Actor; intérprete; jugador; participante; agente.	Attore; interprete; giocatore; partecipante; agente.	Ator; intérprete; jogador; participante; agente.	Актёр; исполнитель; игрок; участник; агент.	ممثل; مؤدي; لاعب; مشارك; وكيل.	अभिनेता; कलाकार; खिलाड़ी; सहभागी; एजेंट।
actress	A female performer in theater, film, or television.	女優; 劇場、映画、テレビでの女性パフォーマー。	女演员; 戏剧、电影或电视中的女性表演者。	Actrice; interprète féminine au théâtre, au cinéma ou à la télévision.	Schauspielerin; weibliche Darstellerin in Theater, Film oder Fernsehen.	Actriz; intérprete femenina en teatro, cine o televisión.	Attrice; interprete femminile in teatro, cinema o televisione.	Atriz; intérprete feminina em teatro, cinema ou televisão.	Актриса; женщина-исполнительница в театре, кино или на телевидении.	ممثلة; مؤدية أنثى في المسرح أو السينما أو التلفزيون.	अभिनेत्री; रंगमंच, फिल्म या टेलीविजन में महिला कलाकार।
actuality	Actual existence; reality.	現実性; 実際の存在; 現実。	现实性; 实际存在; 现实。	Actualité; existence réelle; réalité.	Aktualität; tatsächliche Existenz; Realität.	Actualidad; existencia real; realidad.	Attualità; esistenza reale; realtà.	Atualidade; existência real; realidade.	Актуальность; реальное существование; реальность.	واقعية; وجود فعلي; حقيقة.	वास्तविकता; वास्तविक अस्तित्व; यथार्थ।
adaptation	Adjustment; modification; version; evolution.	適応; 調整; 修正; バージョン; 進化。	适应; 调整; 修改; 版本; 进化。	Adaptation; ajustement; modification; version; évolution.	Anpassung; Einstellung; Modifikation; Version; Evolution.	Adaptación; ajuste; modificación; versión; evolución.	Adattamento; aggiustamento; modifica; versione; evoluzione.	Adaptação; ajuste; modificação; versão; evolução.	Адаптация; приспособление; модификация; версия; эволюция.	تكيف; تعديل; تغيير; نسخة; تطور.	अनुकूलन; समायोजन; संशोधन; संस्करण; विकास।
addiction	The condition of being dependent on a particular substance.	依存症; 特定の物質に依存する状態。	成瘾; 对特定物质依赖的状态。	Dépendance; condition d'être dépendant d'une substance particulière.	Sucht; Zustand der Abhängigkeit von einer bestimmten Substanz.	Adicción; condición de ser dependiente de una sustancia particular.	Dipendenza; condizione di essere dipendente da una sostanza particolare.	Vício; condição de ser dependente de uma substância particular.	Зависимость; состояние зависимости от определённого вещества.	إدمان; حالة الاعتماد على مادة معينة.	लत; किसी विशेष पदार्थ पर निर्भर होने की स्थिति।
addition	Extra; supplement; increase; math operation.	追加; エクストラ; 補足; 増加; 数学の演算。	加法; 额外; 补充; 增加; 数学运算。	Addition; extra; supplément; augmentation; opération mathématique.	Addition; Extra; Ergänzung; Zunahme; mathematische Operation.	Adición; extra; suplemento; aumento; operación matemática.	Addizione; extra; supplemento; aumento; operazione matematica.	Adição; extra; suplemento; aumento; operação matemática.	Сложение; дополнение; добавление; увеличение; математическая операция.	إضافة; إضافي; مكمل; زيادة; عملية رياضية.	जोड़; अतिरिक्त; पूरक; वृद्धि; गणितीय संक्रिया।
additive	A substance added to improve or preserve something.	添加物; 何かを改善または保存するために加えられる物質。	添加剂; 为改善或保存某物而添加的物质。	Additif; substance ajoutée pour améliorer ou préserver quelque chose.	Zusatzstoff; Substanz, die hinzugefügt wird, um etwas zu verbessern oder zu bewahren.	Aditivo; sustancia añadida para mejorar o preservar algo.	Additivo; sostanza aggiunta per migliorare o conservare qualcosa.	Aditivo; substância adicionada para melhorar ou preservar algo.	Добавка; вещество, добавляемое для улучшения или сохранения чего-либо.	مادة مضافة; مادة تُضاف لتحسين أو حفظ شيء ما.	योजक; कुछ सुधारने या संरक्षित करने के लिए जोड़ा गया पदार्थ।
address	Location; speech; handling; residence.	住所; 場所; スピーチ; 取り扱い; 住居。	地址; 位置; 演讲; 处理; 住所。	Adresse; lieu; discours; traitement; résidence.	Adresse; Ort; Rede; Behandlung; Wohnsitz.	Dirección; ubicación; discurso; manejo; residencia.	Indirizzo; luogo; discorso; gestione; residenza.	Endereço; localização; discurso; manuseio; residência.	Адрес; местоположение; речь; обработка; резиденция.	عنوان; موقع; خطاب; تعامل; مسكن.	पता; स्थान; भाषण; संचालन; निवास।
adherence	Steady devotion to belief or practice.	固守; 信念や実践への堅実な献身。	坚持; 对信念或实践的坚定奉献。	Adhérence; dévouement constant à une croyance ou pratique.	Einhaltung; stetige Hingabe an Überzeugung oder Praxis.	Adherencia; devoción constante a creencia o práctica.	Aderenza; devozione costante a credenza o pratica.	Aderência; devoção constante a crença ou prática.	Приверженность; постоянная преданность убеждению или практике.	التزام; إخلاص ثابت للمعتقد أو الممارسة.	पालन; विश्वास या अभ्यास के प्रति दृढ़ समर्पण।
administration	Management; government; control; leadership.	管理; 経営; 政府; 統制; リーダーシップ。	管理; 经营; 政府; 控制; 领导。	Administration; gestion; gouvernement; contrôle; leadership.	Verwaltung; Management; Regierung; Kontrolle; Führung.	Administración; gestión; gobierno; control; liderazgo.	Amministrazione; gestione; governo; controllo; leadership.	Administração; gestão; governo; controle; liderança.	Администрация; управление; правительство; контроль; лидерство.	إدارة; تسيير; حكومة; سيطرة; قيادة.	प्रशासन; प्रबंधन; सरकार; नियंत्रण; नेतृत्व।
admiral	A senior naval officer.	提督; 海軍の上級将校。	海军上将; 高级海军军官。	Amiral; officier naval supérieur.	Admiral; hochrangiger Marineoffizier.	Almirante; oficial naval superior.	Ammiraglio; ufficiale navale superiore.	Almirante; oficial naval sênior.	Адмирал; старший морской офицер.	أميرال; ضابط بحري كبير.	एडमिरल; वरिष्ठ नौसेना अधिकारी।
admiration	Respect and warm approval.	賞賛; 尊敬と温かい承認。	赞赏; 尊重和温暖的认可。	Admiration; respect et approbation chaleureuse.	Bewunderung; Respekt und warme Zustimmung.	Admiración; respeto y aprobación cálida.	Ammirazione; rispetto e approvazione calorosa.	Admiração; respeito e aprovação calorosa.	Восхищение; уважение и тёплое одобрение.	إعجاب; احترام وموافقة دافئة.	प्रशंसा; सम्मान और गर्मजोशी भरी स्वीकृति।
admission	Entry; confession; acknowledgment; acceptance.	入場; エントリー; 告白; 認知; 受け入れ。	入场; 进入; 承认; 确认; 接受。	Admission; entrée; confession; reconnaissance; acceptation.	Zulassung; Eintritt; Geständnis; Anerkennung; Akzeptanz.	Admisión; entrada; confesión; reconocimiento; aceptación.	Ammissione; entrata; confessione; riconoscimento; accettazione.	Admissão; entrada; confissão; reconhecimento; aceitação.	Допуск; вход; признание; подтверждение; принятие.	قبول; دخول; اعتراف; إقرار; قبول.	प्रवेश; प्रविष्टि; स्वीकारोक्ति; स्वीकृति; स्वीकार।
adornment	Decoration; ornament; embellishment; decorative item.	装飾; 飾り; 装身具; 装飾; 装飾品。	装饰; 装饰品; 装饰物; 装饰; 装饰项目。	Ornementation; décoration; ornement; embellissement; article décoratif.	Schmuck; Dekoration; Ornament; Verschönerung; dekorativer Gegenstand.	Adorno; decoración; ornamento; embellecimiento; artículo decorativo.	Ornamento; decorazione; ornamento; abbellimento; oggetto decorativo.	Adorno; decoração; ornamento; embelezamento; item decorativo.	Украшение; декорация; орнамент; украшение; декоративный предмет.	زينة; زخرفة; زينة; تجميل; عنصر زخرفي.	आभूषण; सजावट; अलंकार; सजावट; सजावटी वस्तु।
