en	translation	gender	meaning_translation
arrest	арест	m	
arrival	прибытие	n	
arrow	стрела	f	
arsenal	арсенал	m	
art	искусство	n	
artery	артерия	f	
artichoke	артишок	m	
article	статья	f	
artillery	артиллерия	f	
artist	художник	m	
ascent	подъём	m	
ash	пепел	m	
Asia	Азия	f	
aspect	аспект	m	
aspiration	стремление	n	
aspirin	аспирин	m	
assault	нападение	n	
assembly	собрание	n
assertion	утверждение	n	уверенное и решительное заявление факта или убеждения
assessment	оценка	f	оценка или определение характера, качества или способности
asset	актив	m	полезная или ценная вещь, человек или качество
assignment	задание	n	задача или работа, порученная кому-либо
assistance	помощь	f	действие помощи кому-либо в работе или задаче
assistant	помощник	m	человек, который помогает старшему в работе
associate	партнер	m	партнер или коллега в бизнесе или на работе
association	ассоциация	f	группа людей, организованных для общей цели
assortment	ассортимент	m	разнообразная коллекция вещей или людей
assumption	предположение	n	вещь, принятая за истину без доказательств
assurance	уверенность	f	позитивное заявление, призванное внушить уверенность
asteroid	астероид	m	малое скалистое тело, вращающееся вокруг солнца
asthma	астма	f	респираторное заболевание, вызывающее затруднение дыхания
astonishment	изумление	n	большое удивление или изумление
astrology	астрология	f	изучение движения и расположения небесных тел
astronaut	космонавт	m	человек, обученный путешествовать в космическом корабле
astronomy	астрономия	f	наука, изучающая небесные объекты, космос и физическую вселенную
astrophysics	астрофизика	f	раздел астрономии, изучающий физическую природу звезд
asylum	убежище	n	защита, предоставляемая государством беженцам
athlete	атлет	m	человек, занимающийся спортом
athletics	легкая атлетика	f	физические виды спорта и игры
atlas	атлас	m	книга карт или схем
atmosphere	атмосфера	f	оболочка газов, окружающих землю или другую планету
atom	атом	m	основная единица химического элемента
atrocity	зверство	n	чрезвычайно злой или жестокий поступок
attachment	приложение	n	дополнительная часть или расширение, прикрепленное к чему-либо
attack	нападение	n	агрессивное и жестокое действие против человека или места
attainment	достижение	n	действие или факт достижения цели
attempt	попытка	f	усилие достичь или выполнить трудную задачу
attendance	посещаемость	f	действие или состояние регулярного присутствия
attendant	обслуживающий	m	человек, нанятый для оказания услуг публике
attention	внимание	n	замечание, сделанное в отношении кого-то или чего-то
attitude	отношение	n	устоявшийся способ мышления или чувств
attorney	адвокат	m	человек, назначенный действовать от имени другого в деловых или юридических вопросах
attraction	привлекательность	f	действие или сила вызывания интереса, удовольствия или симпатии
attribute	атрибут	m	качество или особенность, рассматриваемая как характерная
auction	аукцион	m	публичная продажа, на которой товары продаются тому, кто больше заплатит
audience	аудитория	f	собравшиеся зрители или слушатели на публичном мероприятии
audit	аудит	m	официальная проверка счетов отдельного лица или организации
audition	прослушивание	n	собеседование на роль певца, актера, танцора или музыканта
auditor	аудитор	m	человек, проводящий аудит
auditorium	аудитория	f	часть театра, концертного зала или другого общественного здания, где сидят зрители
August	август	m	восьмой месяц года в григорианском календаре
aunt	тетя	f	сестра отца или матери или жена дяди
austerity	строгость	f	суровость или строгость манеры или отношения
Australia	Австралия	f	страна и континент, окруженный Индийским и Тихим океанами
Australian	австралиец	m	уроженец или житель страны и континента в Южном полушарии
author	автор	m	писатель книги, статьи или отчета
authority	власть	f	право или власть отдавать приказы, принимать решения и обеспечивать повиновение
auto	автомобиль	m	автотранспортное средство
autobiography	автобиография	f	рассказ о жизни человека, написанный этим человеком
automation	автоматизация	f	использование в основном автоматического оборудования в системе производства
automobile	автомобиль	m	дорожное транспортное средство, обычно с четырьмя колесами
autonomy	автономия	f	право или условие самоуправления
autumn	осень	f	сезон после лета и перед зимой
availability	доступность	f	качество возможности быть использованным или полученным
avalanche	лавина	f	масса снега, льда и камней, быстро падающая с горного склона
avenue	проспект	m	широкая дорога в городе
average	среднее	n	число, выражающее центральное или типичное значение в наборе данных
aversion	отвращение	n	сильная неприязнь или нежелание
aviation	авиация	f	управление или эксплуатация воздушных судов
avocado	авокадо	n	грушевидный плод с грубой кожистой кожей
award	награда	f	приз или другой знак признания
awareness	осведомленность	f	знание или восприятие ситуации или факта
ax	топор	m	инструмент, обычно используемый для рубки дров
axis	ось	f	воображаемая линия, вокруг которой вращается тело
baby	ребенок	m	очень маленький ребенок, особенно новорожденный
bachelor	холостяк	m	мужчина, который не женат и никогда не был женат
back	спина	f	задняя поверхность человеческого тела от плеч до бедер
backache	боль в спине	f	продолжительная боль в спине
backbone	позвоночник	m	ряд позвонков, простирающихся от черепа до таза
background	фон	m	часть сцены или картины, которая образует обстановку
backing	поддержка	f	помощь или поддержка
backlog	отставание	n	накопление чего-либо, особенно незавершенной работы
backup	резервная копия	f	помощь или поддержка
bacon	бекон	m	вяленое мясо со спины или боков свиньи
bacteria	бактерия	f	микроскопические одноклеточные организмы
badge	значок	m	небольшой кусок металла, ткани или пластика с рисунком или словами
badger	барсук	m	крупно сложенное всеядное ночное млекопитающее
badminton	бадминтон	m	игра с ракетками, в которой волан перебрасывается через сетку
bae	любимый	m	ласковое обращение к романтическому партнеру
bag	сумка	f	контейнер из гибкого материала с отверстием вверху
baggage	багаж	m	личные вещи, упакованные в чемоданы для путешествия
bail	залог	m	временное освобождение обвиняемого, ожидающего суда
bailout	спасение	n	акт оказания финансовой помощи терпящему неудачу бизнесу
baker	пекарь	m	человек, чьей профессией является выпечка хлеба и тортов
balance	баланс	m	равномерное распределение веса
ball	мяч	m	твердая или полая сфера, особенно та, которую пинают, бросают или бьют в игре
ballad	баллада	f	поэма или песня, повествующая историю
ballet	балет	m	художественная форма танца, исполняемая под музыку
balloon	воздушный шар	m	ярко окрашенный резиновый мешок, надутый воздухом
ballot	бюллетень	m	процесс голосования, обычно тайного
bamboo	бамбук	m	гигантская древесная трава, растущая в основном в тропиках
ban	запрет	m	официальный или юридический запрет на что-либо
banana	банан	m	длинный изогнутый фрукт с толстой желтой кожурой
band	группа	f	плоская тонкая полоса материала
bandage	бинт	m	полоса материала, используемая для перевязки раны
bang	хлопок	m	внезапный громкий резкий звук
bank	банк	m	финансовое учреждение, которое использует деньги, внесенные клиентами
banker	банкир	m	человек, работающий в банковском деле на высоком уровне
banking	банковское дело	n	бизнес, проводимый банком, или услуги, предлагаемые банком
bankruptcy	банкротство	n	состояние полного отсутствия денег или ресурсов
banner	баннер	m	длинная полоса ткани со слоганом или рисунком
baptism	крещение	n	христианский религиозный обряд окропления водой
bar	бар	m	длинный жесткий кусок дерева, металла или подобного материала
barbarism	варварство	n	отсутствие культуры и цивилизации
barbecue	барбекю	n	еда или собрание, на котором мясо, рыба или другая пища готовится на открытом огне
barber	парикмахер	m	человек, который стрижет волосы, особенно мужские
bargain	сделка	f	соглашение между двумя или более сторонами
bark	лай	m	резкий взрывной крик собаки, лисы или тюленя
barley	ячмень	m	выносливое зерновое растение с грубыми щетинками
barn	сарай	m	большое сельскохозяйственное здание, используемое для хранения зерна, сена или содержания скота
baroque	барокко	n	чрезвычайно богато украшенный стиль европейского искусства, архитектуры и музыки
barracks	казарма	f	здание или группа зданий, используемых для размещения солдат
barrel	бочка	f	цилиндрический контейнер, выпуклый посередине
barrier	барьер	m	забор или другое препятствие, предотвращающее движение или доступ
base	база	f	самая нижняя часть или край чего-либо
baseball	бейсбол	m	игра с мячом, в которую играют между двумя командами из девяти человек
basement	подвал	m	этаж здания, частично или полностью расположенный ниже уровня земли
basin	раковина	f	чаша для мытья, обычно прикрепленная к стене
basis	основа	f	основополагающая поддержка или основание для идеи, аргумента или процесса
basket	корзина	f	контейнер, используемый для хранения или переноски вещей
basketball	баскетбол	m	игра, в которую играют между двумя командами из пяти игроков
bass	бас	m	самый низкий взрослый мужской певческий голос
bat	летучая мышь	f	летающее ночное млекопитающее с модифицированными передними конечностями
bath	ванна	f	акт мытья в большом контейнере с водой
bathe	купание	n	акт мытья, погружая свое тело в воду
bathroom	ванная комната	f	комната, содержащая ванну или душ
battalion	батальон	m	большая группа войск, готовых к бою
battery	батарея	f	контейнер, содержащий одну или несколько ячеек, несущих электрический заряд
battle	битва	f	продолжительная борьба между большими организованными вооруженными силами
battlefield	поле боя	n	участок земли, на котором ведется или велась битва
battleship	линкор	m	тяжелый военный корабль самого большого типа
bay	залив	m	широкий залив моря, где земля изгибается внутрь
beach	пляж	m	галечный или песчаный берег, особенно у океана
beam	балка	f	длинный прочный кусок квадратного бруса или металла
bean	боб	m	съедобное семя, растущее в длинных стручках
bear	медведь	m	крупное тяжелое млекопитающее с густым мехом
beard	борода	f	рост волос на подбородке и нижних щеках мужского лица
bearing	осанка	f	способ человека стоять или двигаться
beast	зверь	m	животное, особенно крупное или опасное четвероногое
beat	ритм	m	основной акцент или ритмическая единица в музыке или поэзии
beauty	красота	f	сочетание качеств, которое радует эстетические чувства
beaver	бобр	m	крупный полуводный грызун с широким хвостом
bed	кровать	f	предмет мебели для сна или отдыха
bedroom	спальня	f	комната для сна
bedtime	время сна	n	обычное время, когда кто-то ложится спать
bee	пчела	f	летающее насекомое с волосатым телом
beef	говядина	f	мясо коровы, быка или вола, используемое в пищу
beefsteak	бифштекс	m	толстый ломтик постной говядины
beer	пиво	n	алкогольный напиток, приготовленный из солода, ферментированного дрожжами
beetle	жук	m	насекомое с твердыми крыльями, которые складываются на спине
behavior	поведение	n	способ, которым человек действует или ведет себя
belief	вера	f	принятие того, что что-то существует или является правдой
bell	колокол	m	полый металлический предмет в форме чашки
bellow	рев	m	глубокий ревущий крик или вопль
belly	живот	m	передняя часть человеческого туловища ниже ребер
beloved	возлюбленный	m	горячо любимый
belt	ремень	m	полоса кожи или другого материала, носимая вокруг талии
bench	скамья	f	длинное сиденье для нескольких человек
bend	изгиб	m	изогнутое или угловое отклонение от прямой линии
benefit	выгода	f	преимущество или прибыль, полученная от чего-либо
benjamin	бенджамин	m	младший сын
berry	ягода	f	небольшой округлый сочный плод без косточки
bestie	лучший друг	m	лучший друг
bestseller	бестселлер	m	книга или другой продукт, который продается в очень больших количествах
beta	бета	f	вторая буква греческого алфавита
betrayal	предательство	n	действие предательства своей страны, группы или человека
beverage	напиток	m	напиток, кроме воды
beyond	запредельное	n	неизвестное, особенно в отношении жизни после смерти
bibimbap	бибимбап	m	корейское блюдо, состоящее из риса с овощами
bible	библия	f	христианские священные писания, состоящие из Старого и Нового Заветов
bibliography	библиография	f	список книг, упомянутых в научной работе
bicycle	велосипед	m	транспортное средство, состоящее из двух колес
bid	предложение	n	предложение заплатить определенную сумму за что-то
biggie	важная персона	f	важный человек или вещь
bill	счет	m	сумма денег, причитающаяся за поставленные товары или оказанные услуги
billboard	рекламный щит	m	большая наружная доска для показа рекламы
billiards	бильярд	m	игра, в которую играют на прямоугольном столе с мячами и кием
billion	миллиард	m	число, эквивалентное произведению тысячи и миллиона
bin	контейнер	m	емкость для хранения определенного вещества или объектов
bind	затруднительное положение	n	проблемная или трудная ситуация
binder	папка	f	обложка для хранения отдельных листов бумаги вместе
biochemistry	биохимия	f	раздел науки, связанный с химическими процессами внутри живых организмов
biodiversity	биоразнообразие	n	разнообразие жизни в мире или в конкретной среде обитания
biography	биография	f	рассказ о чьей-то жизни, написанный кем-то другим
biologist	биолог	m	эксперт или студент в области науки, изучающей живые организмы
biology	биология	f	изучение живых организмов
biophysics	биофизика	f	наука о применении законов физики к биологическим явлениям
birch	береза	f	стройное выносливое дерево с тонкой шелушащейся корой
bird	птица	f	теплокровное яйцекладущее позвоночное животное
birth	рождение	n	появление младенца или другого детеныша из тела его матери
birthday	день рождения	m	годовщина дня, в который родился человек
birthrate	рождаемость	f	число живорождений на тысячу населения в год
biryani	бирьяни	m	южноазиатское смешанное рисовое блюдо со специями
biscuit	печенье	n	небольшой испеченный пресный пирог
bishop	епископ	m	старший член христианского духовенства
bit	кусочек	m	небольшой кусок, часть или количество чего-либо
bite	укус	m	акт укуса чего-либо
bitter	биттер	m	светло-янтарное пиво с характерным хмелевым вкусом
black	черный	m	самый темный цвет
blackboard	доска	f	большая доска с гладкой темной поверхностью
blade	лезвие	n	плоская режущая кромка ножа, пилы или другого инструмента
blame	вина	f	ответственность за ошибку или проступок
blanket	одеяло	n	большой кусок шерстяного или подобного материала
blast	взрыв	m	разрушительная волна сильно сжатого воздуха
blaze	пламя	n	очень большой или яростно горящий огонь
blessing	благословение	n	божественная милость и защита
blimp	дирижабль	m	небольшой нежесткий дирижабль
blind	жалюзи	f	экран для окна, сделанный из планок или ткани
blister	волдырь	m	небольшой пузырь на коже, наполненный сывороткой
blizzard	метель	f	сильная снежная буря с сильными ветрами
block	блок	m	большой твердый кусок твердого материала с плоскими поверхностями
blood	кровь	f	красная жидкость, которая циркулирует в артериях и венах
bloom	цветение	n	цветок, особенно выращенный ради его красоты
blossom	цветок	m	цветок или масса цветов на дереве или кустарнике
blouse	блузка	f	женская верхняя одежда, напоминающая рубашку
blow	удар	m	мощный удар рукой, оружием или твердым предметом
blue	синий	m	цвет ясного неба или глубокого моря
blueberry	черника	f	небольшая сладкая сине-черная съедобная ягода
blur	размытие	n	вещь, которую нельзя четко увидеть или услышать
blush	румянец	m	покраснение лица как признак смущения
board	доска	f	длинный, тонкий, плоский кусок дерева
boardroom	зал заседаний	m	комната, в которой регулярно встречается совет директоров
boat	лодка	f	небольшое судно, приводимое в движение на воде веслами, парусами или двигателем
body	тело	n	физическая структура человека или животного
bog	болото	n	участок влажной илистой земли
boil	кипение	n	температура, при которой жидкость пузырится и превращается в пар
bolt	болт	m	металлический штифт или стержень, который скользит в гнездо
bomb	бомба	f	взрывное устройство, предназначенное для взрыва при ударе или детонации
bombardment	бомбардировка	f	непрерывная атака бомбами
bomber	бомбардировщик	m	самолёт, предназначенный для сбрасывания бомб
bond	связь	f	связь
bone	кость	f	часть скелета
bonus	премия	f	дополнительная выплата или льгота
boo	возглас	m	возглас для запугивания или неодобрения
book	книга	f	книга
bookkeeping	бухгалтерский учёт	m	учёт финансовых операций
boom	гул	m	громкий глубокий звук
boot	ботинок	m	обувь
booth	кабина	f	небольшая закрытая кабина
border	граница	f	граница
borderline	пограничная линия	f	разделительная линия
borrowing	заимствование	n	акт временного взятия
borscht	борщ	m	восточноевропейский свекольный суп
boss	босс	m	руководитель
botany	ботаника	f	научное изучение растений
bother	беспокойство	n	усилие, хлопоты или трудность
bottle	бутылка	f	ёмкость для жидкостей
bottom	дно	n	самая нижняя часть
bounce	отскок	m	отскок после удара о поверхность
bounty	щедрость	f	что-то данное щедро
bouquet	букет	m	композиция из цветов
bourgeois	буржуа	m	представитель среднего класса
bout	поединок	m	короткий период
bowel	кишка	f	часть пищеварительного канала ниже желудка
bowl	миска	f	посуда
bowling	боулинг	m	спорт катания шара по кеглям
box	коробка	f	контейнер
boxing	бокс	m	спорт борьбы на кулаках
boy	мальчик	m	ребёнок мужского пола
boyhood	отрочество	n	состояние или период жизни мальчика
brace	скоба	f	поддерживающая конструкция
bracelet	браслет	m	украшение, носимое на запястье
brag	хвастовство	n	хвастливая речь
braid	коса	f	сплетённые пряди волос или нитей
brain	мозг	m	орган
brake	тормоз	m	устройство для замедления или остановки
branch	ветвь	f	ветка
brand	бренд	m	тип продукта, сделанного компанией
brandy	бренди	m	спиртной напиток, дистиллированный из вина
brass	латунь	f	жёлтый металлический сплав
Brazil	Бразилия	f	большая южноамериканская страна
breach	брешь	f	разрыв или пролом
bread	хлеб	m	пища
breadth	ширина	f	ширина
break	перерыв	m	перерыв
breakdown	поломка	f	отказ
breakfast	завтрак	m	первый приём пищи в день
breast	грудь	f	грудь
breath	дыхание	n	воздух
breeze	бриз	m	лёгкий ветер
brew	отвар	m	напиток, приготовленный завариванием
bribe	взятка	f	платёж для неправомерного влияния
brick	кирпич	m	строительный блок
bride	невеста	f	женщина в день своей свадьбы
bridge	мост	m	соединение
brief	записка	f	краткое изложение
brilliant	бриллиант	m	очень яркий
brink	край	m	край крутого места
Britain	Британия	f	островное государство в Европе
broadcast	передача	f	трансляция программ по радио или телевидению
broadcasting	вещание	n	передача программ
broccoli	брокколи	f	зелёный овощ
broker	брокер	m	агент
bronze	бронза	f	медно-оловянный сплав
brook	ручей	m	маленький поток
broth	бульон	m	жидкая часть супа
brother	брат	m	брат
brow	бровь	f	бровь
brown	коричневый	m	цвет
browse	просмотр	m	беглый осмотр или изучение
bruise	синяк	m	след травмы
brunch	бранч	m	поздний утренний приём пищи
brush	щётка	f	инструмент
brutality	жестокость	f	крайняя жестокость
brute	зверь	m	дикий человек
bubble	пузырь	m	воздух в жидкости
buck	самец	m	самец оленя
bucket	ведро	n	контейнер с ручкой
buckle	пряжка	f	застёжка ремня
bud	почка	f	цветок до раскрытия
buddhism	буддизм	m	восточная религия
buddhist	буддист	m	человек, исповедующий буддизм
buddy	приятель	m	близкий друг
budget	бюджет	m	план
buff	любитель	m	энтузиаст
buffalo	буйвол	m	крупное копытное животное
bug	жук	m	насекомое
build	телосложение	n	физическая структура
builder	строитель	m	строительный рабочий
building	здание	n	строение
bulgogi	пульгоги	n	корейское блюдо из маринованной говядины
bulk	масса	f	большой размер
bull	бык	m	самец крупного рогатого скота
bullet	пуля	f	снаряд, выпущенный из ружья
bun	булочка	f	маленький хлеб
bunch	пучок	m	несколько вещей, растущих или скреплённых вместе
burden	бремя	n	груз
bureau	бюро	n	офис
bureaucracy	бюрократия	f	система управления чиновниками
burial	погребение	n	похоронное захоронение
burn	ожог	m	травма от огня
bus	автобус	m	транспортное средство
bush	куст	m	кустарник
business	бизнес	m	коммерция
businessperson	бизнесмен	m	человек, занимающийся коммерческим или промышленным бизнесом
bustle	суета	f	оживлённая деятельность
but	исключение	n	исключение или возражение
butler	дворецкий	m	главный слуга мужского пола
butt	окурок	m	более толстый конец чего-либо
butter	масло	n	молочный продукт для намазывания
butterfly	бабочка	f	крылатое насекомое
button	пуговица	f	застёжка
buyer	покупатель	m	человек, который что-то покупает
buyout	выкуп	m	покупка контрольного пакета акций компании
buzz	жужжание	n	гудящий звук
cabbage	капуста	f	листовой овощ
cabinet	шкаф	m	шкафчик
cable	кабель	m	провод
cactus	кактус	m	пустынное растение
cadet	кадет	m	молодой стажёр в военной или полицейской академии
cafe	кафе	n	кофейня
cage	клетка	f	вольер для животных
cake	торт	m	десерт
cakewalk	пустяк	m	очень лёгкая задача
calamity	бедствие	n	катастрофа
calcium	кальций	m	минерал костей
calculation	расчёт	m	вычисление
calculus	исчисление	n	раздел математики
calendar	календарь	m	система дат
calf	телёнок	m	молодая корова
California	Калифорния	f	штат на западном побережье США
call	зов	m	крик
calm	спокойствие	n	мир
camel	верблюд	m	пустынное животное
camera	фотоаппарат	m	фотоустройство
camp	лагерь	m	стоянка
campaign	кампания	f	усилие
campus	кампус	m	территория учебного заведения
can	банка	f	контейнер
Canada	Канада	f	североамериканская страна
canal	канал	m	искусственный водный путь
canary	канарейка	f	жёлтая певчая птица
cancel	отметка	f	почтовый штемпель, показывающий, что почтовые расходы оплачены
cancellation	отмена	f	акт отмены или аннулирования
cancer	рак	m	болезнь
candidate	кандидат	m	претендент
candle	свеча	f	восковой источник света
candy	конфета	f	сладкое кондитерское изделие
cane	трость	f	палка для ходьбы
canoe	каноэ	n	маленькая лодка
canon	канон	m	церковное право
canopy	навес	m	верхнее покрытие
canvas	холст	m	ткань для живописи
canyon	каньон	m	глубокая долина
cap	кепка	f	шапка
capability	способность	f	возможность
capacitance	ёмкость	f	способность накапливать электрический заряд
capacity	вместимость	f	объём
cape	накидка	f	безрукавный плащ
capital	столица	f	город
capitalism	капитализм	m	экономическая система
captain	капитан	m	лидер
capture	захват	m	акт поимки или захвата
car	автомобиль	m	автомобиль
carbon	углерод	m	химический элемент
card	карта	f	игральная карта
cardinal	кардинал	m	высокопоставленное католическое должностное лицо
care	забота	f	внимание
career	карьера	f	профессия
cargo	груз	m	фрахт
caricature	карикатура	f	преувеличенный рисунок или описание
carnation	гвоздика	f	розовый цветок
carnival	карнавал	m	фестиваль
carol	колядка	f	рождественская песня
carp	карп	m	пресноводная рыба
carpet	ковёр	m	ковёр
carriage	экипаж	m	конный экипаж
carrier	перевозчик	m	транспортировщик
carrot	морковь	f	оранжевый корнеплод
cartoon	мультфильм	m	анимационный фильм
case	случай	m	ситуация
cash	наличные	f	деньги
cast	состав	m	группа актёров
caste	каста	f	наследственный социальный класс
casting	кастинг	m	отбор актёров
castle	замок	m	крепость
casual	повседневная одежда	f	неформальная одежда
cat	кот	m	кошачье
catalog	каталог	m	полный список предметов
catalyst	катализатор	m	вещество, ускоряющее химическую реакцию
catch	улов	m	захват
category	категория	f	класс или разделение вещей
