en	meaning_en	example_en
admiration	Respect and warm approval.	His admiration for her courage was evident in his words.
admission	Entry; confession; acknowledgment; acceptance.	The university admission process requires several documents and test scores.
adornment	Decoration; ornament; embellishment; decorative item.	The beautiful adornment on the wall caught everyone's attention.
adult	Grown person; mature; full-grown; of age.	Every adult in the community has the right to vote in elections.
advance	Progress; improvement; loan; forward movement.	The medical advance has saved countless lives worldwide.
advantage	Benefit; edge; profit; superiority.	Having experience in the field gave him a clear advantage over other candidates.
adventure	Exciting experience; journey; quest; exploration.	Their mountain climbing adventure took them to incredible heights.
adversary	An opponent or enemy.	The chess player studied his adversary's moves carefully.
adversity	Difficult or unpleasant situation.	She showed great strength in overcoming adversity during tough times.
advertisement	Commercial; promotion; ad; publicity.	The colorful advertisement in the magazine caught my attention immediately.
advertiser	Person who advertises; company promoting products; marketing professional.	The advertiser created a compelling campaign to reach their target audience.
advice	Counsel; guidance; suggestion; recommendation.	His wise advice helped me make the right decision about my career.
adviser	A person who gives advice in a particular field.	The financial adviser helped them plan for retirement effectively.
advocacy	Public support for or recommendation of a particular cause.	Her advocacy for environmental protection inspired many people to take action.
affair	Matter; event; relationship; business.	The political affair dominated headlines for several weeks.
affection	Fondness; love; warmth; tenderness.	The mother's affection for her children was evident in everything she did.
affidavit	Sworn written statement used as evidence.	The witness signed an affidavit confirming what she had seen.
affinity	Natural liking; attraction; relationship.	Her affinity for classical music led her to become a professional violinist.
aftercare	Care provided after treatment or surgery.	Proper aftercare is essential for a full recovery from the operation.
afternoon	Time between noon and evening.	We spent the peaceful afternoon reading in the garden.
age	Length of life; era; period; maturity.	The golden age of cinema produced many timeless classics.
agency	Organization providing services; action; power.	The travel agency helped us plan our perfect vacation.
agenda	List of items to be discussed; program.	The meeting agenda included five important topics for discussion.
agent	Representative; spy; factor; broker.	The real estate agent showed us several beautiful houses in the neighborhood.
aggregate	Total sum or collection of separate parts.	The aggregate of all donations exceeded our fundraising goal.
agitation	State of anxiety; unrest; stirring.	The political agitation in the region led to widespread protests.
agony	Extreme physical or mental suffering.	The patient was in agony until the doctor administered pain medication.
agreement	Contract; accord; harmony; deal.	Both parties signed the agreement after weeks of careful negotiation.
agriculture	Farming; cultivation of crops and livestock.	Modern agriculture uses technology to increase crop yields significantly.
aid	Help; assistance; support; relief.	The international aid arrived just in time to help disaster victims.
aide	Assistant; helper; supporter.	The presidential aide carried important documents in her briefcase.
aim	Purpose; goal; target; intention.	Her aim was to complete the marathon in under four hours.
air	Atmosphere; gas mixture; broadcast.	The fresh mountain air felt wonderful after living in the city.
airhead	Silly or stupid person.	Despite being called an airhead, she proved everyone wrong with her brilliant ideas.
airport	A complex for aircraft operations.	The busy airport handles hundreds of flights every day.
airway	Route regularly used by aircraft.	The commercial airway connects major cities across the continent.
alarm	Warning signal; device that alerts.	The fire alarm woke everyone in the building immediately.
alaska	Largest state in the United States.	Alaska is known for its incredible wilderness and wildlife.
album	Collection of photographs or music recordings.	The wedding album contains beautiful memories from their special day.
alcohol	Chemical compound; intoxicating substance in drinks.	The doctor advised him to avoid alcohol while taking the medication.
alcoholism	Addiction to alcoholic drinks.	Alcoholism is a serious disease that requires professional treatment.
alibi	Claim of being elsewhere when crime occurred.	The suspect's alibi was verified by security camera footage.
alien	Foreign; extraterrestrial being; outsider.	The science fiction movie featured a friendly alien from another planet.
alignment	Arrangement in a straight line.	The car's wheel alignment needs to be adjusted for better handling.
all	Everything; entirety; the whole quantity or extent of something.	The all of her possessions fit into two suitcases.
all-nighter	Activity lasting through the night.	The college student pulled an all-nighter to finish his research paper.
allegiance	Loyalty; faithfulness; devotion.	Citizens pledge their allegiance to the country during the ceremony.
allergy	Hypersensitive reaction to substance.	Her allergy to peanuts requires her to carry emergency medication.
alliance	Union; partnership; coalition; agreement.	The military alliance strengthened security cooperation between the nations.
alligator	Large reptile found in swamps.	The massive alligator sunned itself on the riverbank peacefully.
allocation	Distribution; assignment; apportionment.	The budget allocation for education increased significantly this year.
allotment	Portion assigned; small garden plot.	His allotment of vegetables provides fresh produce for the family.
allowance	Money given regularly; permitted amount.	The child earns her weekly allowance by completing household chores.
alloy	Metal made by combining two or more metals.	The titanium alloy is both lightweight and incredibly strong.
ally	A country or person that cooperates with another.	France has been a trusted ally of the United States for centuries.
almond	Edible seed; oval-shaped nut from almond tree.	She added sliced almond to the salad for extra crunch.
alpaca	South American mammal related to llama.	The soft alpaca wool makes incredibly warm and comfortable sweaters.
alpha	First letter of Greek alphabet; dominant individual.	The alpha of the wolf pack leads and protects the entire group.
alphabet	Set of letters used in writing system.	Children learn the alphabet before they can read complete words.
alternative	Option; choice; substitute; different.	Solar power provides a clean alternative to fossil fuel energy.
altitude	Height above sea level or ground level.	The airplane reached its cruising altitude of 35,000 feet.
alto	The lowest female singing voice.	The choir director assigned her to sing alto in the upcoming concert.
altogether	Completely; in total.	The altogether cost of the renovation exceeded our original budget.
amateur	Person who does activity for pleasure not money.	The talented amateur photographer won first prize in the local contest.
amber	Fossilized tree resin.	The ancient insect preserved in amber provides valuable scientific information.
ambiguity	Uncertainty of meaning.	The legal document's ambiguity led to confusion among the lawyers.
ambition	Strong desire for success or achievement.	Her ambition to become a doctor motivated years of dedicated study.
amendment	Change or addition to legal document.	The constitutional amendment guarantees freedom of speech for all citizens.
america	Continent or commonly United States.	America is known for its diverse culture and natural beauty.
american	Relating to or characteristic of America or Americans.	The American dream represents opportunity and freedom for many people.
amethyst	Purple variety of quartz gemstone.	The beautiful amethyst necklace sparkled in the jewelry store window.
ammunition	Projectiles fired from weapons.	The soldiers carefully counted their ammunition before the training exercise.
amnesty	An official pardon for people who have committed crimes.	The government declared amnesty for political prisoners during the peace process.
amount	Quantity; a particular quantity of something.	The amount of rainfall this month broke all previous records.
ampere	Unit of electric current measurement.	The circuit breaker is rated for twenty amperes of electrical current.
amplitude	The maximum extent of vibration or oscillation.	The sound wave's amplitude determines how loud we perceive the noise.
amusement	Entertainment or pleasure from something enjoyable.	The children's amusement at the circus was evident in their laughter.
anagram	Word formed by rearranging letters of another word.	The word 'listen' is a perfect anagram of 'silent'.
analogy	A comparison between similar things to explain or clarify.	The teacher used a simple analogy to explain the complex scientific concept.
analysis	Detailed examination of elements or structure.	The financial analysis revealed significant problems with the company's budget.
anarchy	Absence of government or organized authority.	The country descended into anarchy after the government collapsed.
anatomy	The study of body structure and organization.	Medical students spend years studying human anatomy in great detail.
ancestor	A person from whom one is descended; forefather.	She traced her family tree back to an ancestor from the 1700s.
ancient	From long ago; belonging to the very distant past.	The ancient ruins tell stories of civilizations from thousands of years ago.
angel	A spiritual being believed to act as attendant or messenger of God.	The beautiful angel statue graced the entrance of the cathedral.
anger	A strong feeling of annoyance, displeasure, or hostility.	His anger subsided once he understood the misunderstanding.
angle	A space between two intersecting lines or surfaces at or close to the point where they meet.	The photographer adjusted the camera angle to capture the perfect shot.
animal	A living organism that feeds on organic matter, typically having specialized sense organs and nervous system.	Every animal in the zoo receives specialized care from trained veterinarians.
animation	The technique of making drawings, models, or puppets appear to move.	The Disney animation brought beloved characters to life on the screen.
ankle	The joint connecting the foot with the leg; the area around this joint.	The runner twisted her ankle during the marathon but finished the race.
anniversary	The date on which an event took place in a previous year.	They celebrated their wedding anniversary with a romantic dinner.
announcement	A public or formal notice announcing something.	The principal made an important announcement during the morning assembly.
announcer	A person who announces something, especially on radio or television.	The sports announcer's excitement made the game even more thrilling.
annoyance	The feeling of being irritated or slightly angry.	The constant noise from construction became a daily annoyance for residents.
answer	A response to a question, problem, or situation.	She knew the correct answer to every question on the exam.
ant	Small insect	The hardworking ant carried food many times its own weight.
antarctic	South polar region	The Antarctic contains most of the world's fresh water in ice form.
antelope	Swift horned animal	The graceful antelope bounded across the African savanna.
anthem	A rousing song identified with a particular group or cause.	The national anthem played before every football game.
anthropology	The study of humankind.	Her degree in anthropology prepared her for fieldwork with indigenous cultures.
antibiotic	A medicine that inhibits the growth of bacteria.	The doctor prescribed an antibiotic to treat the bacterial infection.
antibody	Blood protein produced to counteract antigens.	The antibody helps the immune system fight off dangerous viruses.
anticipation	Feeling of expectation; looking forward to something.	The anticipation before opening presents made Christmas morning special.
antidote	A medicine to counteract poison.	The hospital kept the antidote ready for potential snakebite victims.
antique	A valuable old object	The antique vase had been in the family for five generations.
antiquity	The ancient past	The museum's collection spans from antiquity to the present day.
antiseptic	A substance that prevents infection.	The nurse applied antiseptic to clean the wound thoroughly.
anxiety	Worry	Her anxiety about the job interview kept her awake all night.
anybody	Person; individual; any person at all.	Anybody can learn to play the piano with enough practice.
anyone	Individual; person; any person whatsoever; unspecified person.	Anyone interested in volunteering should contact the organizer.
anything	Object; matter; any object or matter whatever.	Anything left on the table will be thrown away at closing time.
anyway	Method; manner; in spite of everything; nevertheless.	There are several ways to solve this problem; anyway you choose should work.
anywhere	Place; location; in or to any place.	You can find good coffee anywhere in this neighborhood.
apartment	Flat	The cozy apartment overlooks the busy city street below.
apathy	Lack of interest, enthusiasm, or concern.	The voters' apathy toward the election worried civic leaders.
ape	A large primate without a tail.	The intelligent ape learned to use simple tools to find food.
aperture	An opening, hole, or gap.	The photographer adjusted the camera's aperture for better depth of field.
apex	The highest point or peak.	Reaching the apex of the mountain took six hours of difficult climbing.
apocalypse	The complete final destruction of the world.	The science fiction movie depicted a zombie apocalypse scenario.
apology	An expression of regret	His sincere apology helped repair their damaged friendship.
apostrophe	Punctuation mark	Remember to use an apostrophe in contractions like 'don't' and 'can't'.
apparatus	Equipment for a particular purpose.	The scientific apparatus required careful calibration before each experiment.
apparel	Clothing and accessories	The store specializes in athletic apparel for professional athletes.
appeal	Request	The charity's appeal for donations raised thousands of dollars.
appearance	Look	His neat appearance made a positive impression at the job interview.
appetite	A natural desire to satisfy a bodily need, especially for food.	The delicious smell increased everyone's appetite for dinner.
appetizer	Small first course	The shrimp appetizer was the perfect start to the elegant meal.
applause	Clapping hands	The thunderous applause lasted for several minutes after the performance.
apple	Round fruit	The crisp red apple provided a healthy and satisfying snack.
appliance	A device designed for a particular use.	The new kitchen appliance saves time when preparing meals.
applicant	A person who applies for something.	The qualified applicant impressed everyone during the interview process.
application	Use	The software application helps students organize their homework assignments.
appointment	Meeting	She scheduled a doctor's appointment for next Tuesday morning.
appraisal	An assessment of worth or quality.	The home appraisal determined the property's current market value.
appreciation	Recognition of the full worth of something.	Her appreciation for classical music grew after attending the concert.
apprehension	Anxiety or fear that something bad will happen.	His apprehension about the surgery was completely understandable.
apprentice	Person learning trade from skilled employer.	The young apprentice learned carpentry skills from the master craftsman.
apprenticeship	Training period	The apprenticeship program lasted three years and included hands-on experience.
approach	Method	Their innovative approach to the problem yielded surprising results.
appropriation	Taking for use	The budget appropriation for education increased by ten percent this year.
approval	Consent	The project received unanimous approval from the city council.
apricot	Orange stone fruit	The sweet apricot made a perfect addition to the fruit salad.
april	The fourth month of the year.	April brings warm weather and beautiful spring flowers.
apron	A protective garment worn over clothes while cooking.	She tied her grandmother's apron around her waist before baking cookies.
aquatic	Water organism	The aquatic plant provided oxygen for the fish in the pond.
arab	Person from Arabic-speaking countries.	The Arab merchant sold beautiful handwoven carpets in the marketplace.
arbitration	Settlement of dispute by neutral third party.	The labor arbitration resolved the contract dispute fairly for both sides.
arc	A part of the circumference of a circle.	The rainbow formed a perfect arc across the clear blue sky.
arch	A curved structure spanning an opening.	The stone arch has stood strong for over three centuries.
archaeologist	A person who studies human history through excavation.	The archaeologist discovered pottery fragments from ancient civilizations.
archaeology	The study of human activity through material remains.	Her study of archaeology led to exciting discoveries in Egypt.
archer	Person who shoots with bow and arrow.	The skilled archer hit the bullseye with remarkable accuracy.
archipelago	Group of islands	The archipelago consists of over fifty small tropical islands.
architect	A person who designs buildings.	The famous architect designed several iconic buildings in the city.
architecture	Building design	The Gothic architecture of the cathedral inspires millions of visitors.
archive	A collection of historical documents or records.	The university archive contains manuscripts dating back four centuries.
arctic	Extremely cold northern polar region.	The Arctic ice is melting due to climate change effects.
area	Region	The residential area has excellent schools and parks for families.
arena	A level area surrounded by seats for spectators.	The basketball arena can hold over twenty thousand excited fans.
argument	Debate	Their argument about politics lasted well into the evening.
aristocracy	Highest class in society	The aristocracy lived in magnificent palaces throughout the countryside.
arithmetic	The branch of mathematics dealing with numbers.	Basic arithmetic skills are essential for everyday financial decisions.
arizona	Southwestern US state	Arizona is famous for its stunning desert landscapes and Grand Canyon.
arm	Limb	The surgeon carefully examined the patient's broken arm.
armament	Military weapons and equipment.	The country increased its armament spending due to regional tensions.
armor	Protective covering worn in combat.	The medieval knight's armor protected him during fierce battles.
army	Military	The army conducted training exercises in the remote desert region.
aroma	A distinctive pleasant smell.	The delicious aroma of fresh bread filled the entire bakery.
arrangement	Organization	The flower arrangement created a beautiful centerpiece for the dinner table.
array	An impressive display or range of something.	The buffet featured an impressive array of international dishes.
arrest	The action of seizing someone to hold them in custody.	The arrest was made peacefully without any complications.
arrival	Coming	The arrival of spring brought warm weather and blooming flowers.
arrow	A shaft with a pointed head shot from a bow.	The arrow flew straight and true toward the target.
arsenal	Collection of weapons	The military arsenal contained equipment for various types of operations.
art	Art	The museum's art collection includes masterpieces from every major period.
artery	A blood vessel carrying blood away from the heart.	The blocked artery required immediate surgical intervention.
artichoke	Edible flower bud of Mediterranean plant.	The grilled artichoke made an excellent appetizer for the dinner party.
article	Item	The newspaper article explained the complex political situation clearly.
artillery	Large military weapons	The artillery unit provided support during the military exercise.
artist	Creator	The talented artist painted landscapes that captured nature's beauty.
ascent	Act of climbing or going up.	The mountaineer's ascent took twelve hours of continuous climbing.
ash	The powdery residue left after burning.	The volcanic ash covered everything within a fifty-mile radius.
asia	Largest continent on Earth.	Asia contains more than half of the world's total population.
aspect	Side	Every aspect of the project was carefully planned and executed.
aspiration	Hope or ambition of achieving something.	Her aspiration to become a doctor motivated years of dedicated study.
aspirin	Common pain-relieving medication.	The doctor recommended taking aspirin for the headache pain.
ass	Donkey; buttocks (informal).	The stubborn ass refused to move despite all encouragement.
assault	Violent attack; aggressive action.	The assault charges were filed with the local police department.
assembly	Gathering of people; legislative body.	The school assembly featured a presentation on environmental protection.
assertion	A confident and forceful statement.	His assertion about the company's future proved to be correct.
assessment	Evaluation; judgment; appraisal.	The psychological assessment revealed important information about the patient.
asset	Resource; valuable possession; advantage.	Her language skills are a valuable asset in international business.
assignment	Task; duty; homework; job.	The homework assignment required extensive research and analysis.
assistance	Help or support.	The elderly woman appreciated the assistance with her heavy groceries.
assistant	Helper; aide; supporter; deputy.	The research assistant helped organize all the laboratory equipment.
associate	Partner; colleague; companion; ally.	His business associate provided valuable insights during the meeting.
association	Organization; group; connection; relationship.	The homeowners association organizes community events throughout the year.
assortment	Miscellaneous collection of things.	The candy store offered an impressive assortment of chocolates and sweets.
assumption	Belief accepted without proof.	Their assumption about customer preferences turned out to be incorrect.
assurance	Confidence; certainty; guarantee; insurance.	The manager's assurance helped calm the worried employees.
asteroid	Small rocky object orbiting sun.	The large asteroid passed safely by Earth at a distance of two million miles.
asthma	A respiratory condition causing difficulty in breathing.	Her asthma requires daily medication to control the symptoms.
astonishment	Great surprise or amazement.	The magic trick filled the children with complete astonishment.
astrology	Study of celestial bodies influence on human affairs.	Many people read astrology columns to learn about their daily horoscope.
astronaut	Person trained to travel in spacecraft.	The astronaut spent six months aboard the international space station.
astronomy	Study of celestial objects and space.	Her passion for astronomy led her to study distant galaxies.
astrophysics	Branch of astronomy dealing with physical properties.	Astrophysics helps us understand how stars and planets form.
asylum	Protection granted to political refugees.	The country granted asylum to families fleeing political persecution.
athlete	A person who is proficient in sports.	The Olympic athlete trained for years to compete at the highest level.
athletics	Physical sports and games of any kind.	The school's athletics program includes soccer, basketball, and tennis.
atlas	Book of maps; collection of charts.	The geography student used an atlas to locate countries and capitals.
atmosphere	Air surrounding Earth; mood; environment.	The restaurant's cozy atmosphere made it perfect for romantic dinners.
atom	Smallest unit of matter; basic building block.	Every atom contains protons, neutrons, and electrons in its structure.
atrocity	Extremely cruel or brutal act.	The war crimes tribunal investigated the atrocity committed against civilians.
attachment	Affection; bond; additional part; accessory.	The email attachment contained all the important project documents.
attack	Assault; aggressive action; criticism.	The surprise attack caught the enemy completely off guard.
attainment	Achievement; accomplishment; acquisition.	Her educational attainment opened doors to excellent career opportunities.
attempt	An effort to achieve or complete something.	His first attempt at baking bread was surprisingly successful.
attendance	Action of being present; participation.	Perfect attendance earned her recognition at the school awards ceremony.
attendant	Person providing service to others.	The flight attendant ensured passengers had a comfortable journey.
attention	Focus; concentration; notice; care.	The speaker's attention to detail made the presentation very informative.
attitude	Viewpoint; position; manner; approach.	Her positive attitude helped the team overcome difficult challenges.
attorney	Lawyer; legal representative; advocate.	The defense attorney presented compelling evidence to the jury.
attraction	Appeal; fascination; force pulling objects together.	The main attraction at the amusement park was the roller coaster.
attribute	A quality or feature regarded as characteristic.	Honesty is her most admirable attribute as a leader.
auction	Public sale to highest bidder.	The art auction raised thousands of dollars for the local charity.
audience	Viewers; spectators; listeners; public.	The enthusiastic audience gave the performers a standing ovation.
audit	An official inspection of accounts.	The annual audit revealed that the company's finances were well-managed.
audition	Performance test; trial; tryout.	Her audition for the school play impressed all the judges.
auditor	Financial examiner; one who audits accounts.	The certified auditor reviewed the company's financial statements.
auditorium	A large room for an audience in a theater or concert hall.	The packed auditorium erupted in applause after the symphony performance.
august	Eighth month of Gregorian calendar.	August is often the hottest month of the summer season.
aunt	Sister of one's father or mother.	His favorite aunt always brought thoughtful gifts when she visited.
austerity	Strictness; severe self-discipline; economic restraint.	The government's austerity measures reduced public spending significantly.
australia	Continent and country in Southern Hemisphere.	Australia is home to unique animals like kangaroos and koalas.
australian	Person from Australia; relating to Australia.	The friendly Australian showed us around the beautiful city.
author	Writer; creator of literary work.	The famous author signed copies of her latest bestselling novel.
authority	Power; right to control; expert knowledge.	The local authority approved the construction of the new school.
auto	A motor vehicle, especially a car.	The vintage auto attracted admiring glances at the classic car show.
autobiography	Account of person's life written by themselves.	Her autobiography revealed fascinating details about her childhood.
automation	The use of automatic equipment in manufacturing.	Factory automation increased production efficiency by thirty percent.
automobile	A road vehicle powered by an engine.	The first automobile revolutionized transportation in the early 1900s.
autonomy	Self-government; independence; freedom; self-rule.	The region gained autonomy after years of peaceful negotiations.
autumn	The season between summer and winter.	Autumn brings beautiful colors as leaves change from green to gold.
availability	The quality of being available for use.	The hotel's availability during peak season is very limited.
avalanche	A mass of snow falling down a mountain.	The avalanche blocked the mountain road for several hours.
avenue	A wide street, typically lined with trees.	The elegant avenue leads directly to the city's main shopping district.
average	Mean; typical; normal; standard.	The average temperature in July is usually quite warm.
aversion	Strong dislike; repulsion; hatred; antipathy.	His aversion to heights prevented him from enjoying the scenic overlook.
aviation	The practice of operating aircraft.	Commercial aviation has made international travel accessible to millions.
avocado	Green creamy fruit; tropical fruit; healthy fat source; guacamole ingredient.	The ripe avocado was perfect for making fresh guacamole.
award	Prize; honor; recognition; grant.	The prestigious award recognized her contributions to environmental science.
awareness	Knowledge or perception of a situation.	Public awareness about climate change has increased significantly.
ax	Chopping tool; hatchet; wood cutting tool; weapon.	The sharp ax made splitting firewood much easier.
axis	An imaginary line about which something rotates.	The Earth rotates on its axis once every twenty-four hours.
baby	Infant; child; young person; small.	
bachelor	An unmarried man.	
back	Rear; spine; support; return.	
backache	Pain in back; spine pain; lumbar pain; dorsal pain.	
backbone	Spine; vertebral column; main support; courage.	
background	History; setting; experience; context.	
backing	Support; financial help; endorsement; reverse side.	
backlog	Accumulated work; pending tasks; unfinished items; queue.	
backup	Copy for safety; support; reserve; substitute.	
bacon	Cured pork; breakfast meat; crispy meat strips; smoked meat.	
bacteria	Microscopic organisms; germs; microbes; single-cell organisms.	
badge	A distinctive emblem worn as identification.	
badger	Burrowing animal; striped mammal; to pester; nocturnal animal.	
badminton	Racket sport; shuttlecock game; court sport; net game.	
bae	Sweetheart; loved one; boyfriend/girlfriend; dear one.	
bag	Container; sack; purse; package.	
baggage	Suitcases and bags used for travel.	
bail	Money paid to release arrested person.	
bailout	Financial rescue of failing organization.	
baker	Person who bakes bread and cakes.	
balance	Equilibrium; stability; remainder; scale.	
ball	Sphere; game; dance; round object.	
ballad	Narrative poem or song telling story.	
ballet	Artistic dance form with precise movements.	
balloon	A flexible bag filled with gas or air.	
ballot	Process or paper used for voting.	
bamboo	Tall woody grass plant.	
ban	An official prohibition on something.	
banana	Yellow curved tropical fruit.	
band	Group; strip; music group; ring.	
bandage	Strip of material for covering wounds.	
bang	Sudden loud noise; hair cut straight across.	
bank	Financial institution; river edge; slope; store.	
banker	Person who works in banking.	
banking	Business of operating banks.	
bankruptcy	Legal state of being unable to pay debts.	
banner	A large sign or flag bearing a slogan.	
baptism	Christian ceremony of initiation.	
bar	Rod; tavern; legal profession; barrier.	
barbarism	Extreme cruelty or brutality.	
barbecue	Outdoor cooking method; social gathering.	
barber	Person who cuts hair, especially men's.	
bargain	Agreement; something sold at low price.	
bark	Outer covering of tree; dog's sound.	
barley	Cereal grain used for food and brewing.	
barn	Large farm building for storing crops.	
baroque	Elaborate artistic style from 17th-18th centuries.	
barracks	Building housing soldiers.	
barrel	Large round container; tube of gun.	
barrier	Obstacle preventing movement or access.	
base	Foundation; bottom; headquarters; basis.	
baseball	Sport played with bat and ball.	
basement	The floor of a building below ground level.	
basic	Fundamental; essential; simple; primary.	
basin	A bowl-shaped container for holding water.	
basis	Foundation; ground; reason; principle.	
basket	Container made of woven material.	
basketball	Sport with ball and elevated hoops.	
bass	Low-pitched musical range; type of fish.	
bat	Flying mammal; equipment for hitting ball.	
bath	Washing; tub; bathroom; soak.	
bathe	Wash oneself or someone else.	
bathroom	Washroom; toilet; lavatory; restroom.	
battalion	Large military unit of soldiers.	
battery	Device storing electrical energy; violent attack.	
battle	Fight; combat; war; struggle.	
battlefield	Area where battle takes place.	
battleship	Large heavily armed warship.	
bay	Body of water partly enclosed by land.	
beach	Shore; coast; sand; seaside.	
beam	A ray of light or a structural support.	
bean	Edible seed of leguminous plant.	
bear	Animal; carry; endure; produce.	
beard	Facial hair; chin hair; whiskers; man's facial growth.	
bearing	Direction; posture; relevance; mechanical part.	
beast	Wild animal; large creature; brutal person; monster.	
beat	Rhythm; musical pulse; hit; defeat.	
beauty	Attractiveness; loveliness; charm; aesthetics.	
beaver	Dam-building animal; aquatic rodent; furry mammal; industrious animal.	
bed	Sleeping place; bottom; layer; garden.	
bedroom	Sleeping room; chamber; quarters; suite.	
bedtime	Time to sleep; sleeping hour; night rest time; sleep schedule.	
bee	A flying insect that produces honey.	
beef	Cow meat; red meat; complaint; cattle flesh.	
beefsteak	Slice of beef; grilled meat; steak cut; meat portion.	
beer	Alcoholic drink; brew; beverage; lager.	
beetle	Hard-shelled insect; bug; scarab; crawling insect.	
behavior	The way a person or animal acts.	
belief	Faith; conviction; trust; opinion; doctrine.	
bell	Chime; signal; alarm; notification.	
bellow	Loud roar; to shout; deep cry; angry yell.	
belly	The front part of the human torso below the chest.	
beloved	Dearly loved; cherished person; dear one; sweetheart.	
belt	Strap; band; zone; region.	
bench	Seat; court; workbench; standard.	
bend	To curve; turn; bow; curved part.	
benefit	Advantage; profit; welfare; gain.	
benjamin	Youngest son; favorite child; hundred dollar bill; biblical name.	
berry	Small fruit; juicy fruit; seed fruit; bush fruit.	
bestie	Best friend; closest companion; dear friend; BFF.	
bestseller	Popular book; top-selling item; hit product; successful book.	
beta	Second Greek letter; test version; second position; preliminary version.	
betrayal	Act of betraying; treachery; disloyalty; broken trust.	
beverage	Drink; liquid refreshment; any drinkable liquid; refreshment.	
beyond	Further than; past; exceeding; the afterlife.	
bibimbap	Korean mixed rice dish; rice bowl with vegetables; Korean cuisine.	
bible	Holy book; Christian scripture; authoritative book; sacred text.	
bibliography	List of books; reference list; source list; reading list.	
bicycle	Bike; two-wheeler; cycle; transport.	
bid	Offer; attempt; tender; proposal.	
big	Bigness; large size; great thing; importance.	
biggie	Important person; big thing; major issue; significant matter.	
bill	Invoice; law; beak; money.	
billboard	Large advertising sign; outdoor advertisement; display board.	
billiards	Cue sport; pool game; table game with balls.	
